S.l. 1 37.3989094 -122.0711831
s.l. 71 37.3989094 -122.0711831
"s. l." 1 37.3989094 -122.0711831
"Helsinki, Finland" 1 60.16985569999999 24.938379
"Hertfordshire, UK" 1 51.80978229999999 -0.2376744
"Katowice, Pologne" 1 50.26489189999999 19.0237815
"Kortrijk, Belgium" 1 50.8194776 3.2577263
"Marseille, France" 12 43.296482 5.36978
"Mississauga, Ont." 3 43.5890452 -79.6441198
"Munich, Allemagne" 1 48.1351253 11.5819806
"Nünberg, Germany" 1 49.4254092 11.0796553
"Pointe-Claire, Qc" 4 45.4719655 -73.7990191
"Prince George, BC" 4 53.9170641 -122.7496693
"Saint Jérôme Qc" 2 45.775357 -74.004948
"San Francisco, CA" 3 37.7749295 -122.4194155
"St Catharines Ont" 1 43.1593745 -79.2468626
"St. Norbert, Man." 2 49.76534669999999 -97.14430449999999
"Stavanger, Norway" 1 58.9699756 5.7331073
"Stockholm, Suède" 1 59.32932349999999 18.0685808
"Stouffville, Ont." 1 43.9705861 -79.2442842
"Sutton West, Ont." 1 44.311901 -79.34991099999999
"Thunder Bay, Ont." 3 48.3808951 -89.2476823
"Tourcoing, France" 1 50.724993 3.16207
"Tournai, Belgique" 1 50.6056475 3.3879338
"Basel, Switzerland" 1 47.5595986 7.5885761
"Bielefeld, Germany" 4 52.0302285 8.532470800000002
"Cambridge, England" 1 52.205337 0.121817
"Charlottetown, PEI" 7 46.23824 -63.13107040000001
"Corner Brook, Nfld" 1 48.9489967 -57.95027260000001
"Gottingen, Germany" 3 51.54128040000001 9.915803499999999
"Humlebaek, Denmark" 1 55.958374 12.526863
"L'Annonciation, Qc" 1 46.4099669 -74.8703201
"Manchester England" 1 53.4807593 -2.2426305
"Medicine Hat, Alta" 2 50.0405486 -110.6764258
"North Vancouver BC" 2 49.3199816 -123.0724139
"Peterborough, Ont." 7 44.309058 -78.31974699999999
"Saint Jérôme, Qc" 1 45.775357 -74.004948
"Saint-Jérôme, Qc" 3 45.775357 -74.004948
"Saint-Lambert, Qc." 1 45.4920344 -73.50417519999999
